date,open,high,low,close,adjusted_close,volume
2024-02-12,191.97,193.835,191.67,193.57,193.148,1373815
2024-02-13,190.21,190.81,186.83,190.11,189.6955,2392299
2024-02-14,190.85,192.77,189.77,192.7,192.2799,1643793
2024-02-15,193.5,196.5635,193.425,196.16,195.7323,1749457
2024-02-16,195.49,198.045,194.86,197.57,197.1392,1735255
2024-02-20,198.1,198.93,196.72,197.09,196.6603,1535328
2024-02-21,196.99,199.35,196.68,199.04,198.606,1160517
2024-02-22,200.73,203.91,200.0,202.45,202.161,1697820
2024-02-23,202.11,204.84,202.01,204.54,204.248,1584950
2024-02-26,204.54,204.87,202.5,203.01,202.7202,1038356
2024-02-27,203.01,204.14,202.66,203.59,203.2993,1035247
2024-02-28,202.9,205.5,202.9,203.96,203.6688,1490402
2024-02-29,203.75,205.04,202.53,204.32,204.0283,3012440
2024-03-01,203.95,205.38,202.5,204.88,204.5875,1272595
2024-03-04,204.53,204.91,202.03,202.41,202.121,1170060
2024-03-05,202.11,203.95,200.85,203.81,203.519,1396370
2024-03-06,204.11,206.65,203.48,203.61,203.3193,1277961
2024-03-07,204.78,205.24,203.3,204.94,204.6474,1115395
2024-03-08,204.28,206.64,204.03,205.71,205.4163,932289
2024-03-11,205.4,205.64,202.78,204.19,203.8985,840793
2024-03-12,205.2,207.94,204.91,207.03,206.7344,973625
2024-03-13,207.34,209.13,206.555,208.53,208.2323,1272601
2024-03-14,209.56,209.71,206.15,206.92,206.6246,1741987
2024-03-15,204.71,207.19,203.905,204.66,204.3678,3029481
2024-03-18,206.09,207.96,205.01,206.5,206.2052,2349424
2024-03-19,207.29,208.77,207.06,208.12,207.8229,1038471
2024-03-20,208.59,211.525,207.97,210.51,210.2094,1340395
2024-03-21,211.44,211.86,210.25,210.55,210.2494,1462614
2024-03-22,210.53,211.7,210.46,211.3,210.9983,1045660
2024-03-25,210.75,211.22,208.85,210.12,209.82,1176440
2024-03-26,212.82,213.74,212.26,213.04,212.7358,1482696
2024-03-27,214.17,215.14,212.34,214.34,214.034,1225204
2024-03-28,214.63,215.79,213.045,213.31,213.0055,1247482
2024-04-01,213.31,214.57,212.2,212.7,212.3963,1038919
2024-04-02,211.17,211.675,210.225,210.37,210.0696,1412821
2024-04-03,210.89,213.02,210.735,212.17,211.8671,1163393
2024-04-04,214.07,214.72,207.69,208.79,208.4919,1233969
2024-04-05,209.26,212.19,208.4001,211.69,211.3878,1379729
2024-04-08,211.57,212.63,211.15,211.58,211.2779,1086454
2024-04-09,212.21,212.73,208.11,209.91,209.6103,935925
2024-04-10,209.15,209.94,208.04,209.59,209.2908,1149294
2024-04-11,208.89,212.15,207.79,210.76,210.4591,1288563
2024-04-12,208.68,209.12,204.23,205.1,204.8072,1638127
2024-04-15,209.19,210.1,204.39,204.43,204.1381,1202065
2024-04-16,203.76,205.49,202.28,202.5,202.2109,1023070
2024-04-17,202.63,203.605,199.62,200.48,200.1938,1936073
2024-04-18,201.22,202.0999,197.925,198.82,198.5361,1273692
2024-04-19,198.94,200.045,193.86,194.47,194.1923,2592106
2024-04-22,196.09,197.06,194.115,195.14,194.8614,1898684
2024-04-23,195.24,197.72,194.71,197.04,196.7587,2142700
2024-04-24,205.56,210.34,204.23,204.7,204.4077,3141514
2024-04-25,203.08,204.86,202.04,203.93,203.6388,2083927
2024-04-26,203.31,205.1,201.97,202.12,201.8314,1572956
2024-04-29,202.33,204.465,201.395,202.16,201.8714,1223469
2024-04-30,201.61,202.145,197.03,197.28,196.9983,1756535
2024-05-01,196.69,200.64,196.0,197.74,197.4577,1694114
2024-05-02,198.76,198.76,196.72,197.53,197.248,1466249
2024-05-03,198.65,200.28,197.34,197.54,197.258,1853124
2024-05-06,198.58,200.28,198.265,200.1,199.8143,903997
2024-05-07,200.3,201.47,199.09,199.71,199.4249,902072
2024-05-08,199.0,200.64,198.49,200.39,200.1039,990947
2024-05-09,198.73,203.73,197.17,203.48,203.1895,1477049
2024-05-10,204.8,208.33,204.475,208.08,207.7829,2431271
2024-05-13,208.63,209.0,205.01,206.09,205.7958,1912528
2024-05-14,205.96,206.49,203.03,205.3,205.0069,2096698
2024-05-15,205.17,207.66,204.01,204.57,204.2779,2111885
2024-05-16,204.77,206.84,204.08,205.79,205.647,1511341
2024-05-17,206.5,206.91,204.13,204.19,204.0481,899687
